MSA Title,net migration,raw net migration,met2013,n_obs_for_median_real_wage,mean_nominal_wage,median_nominal_wage,mean_real_wage,median_real_wage,n_in,n_out,MSA 2010 Population
"Springfield, MO",8.609793181776548e-4,376,44180,2443,52075.478743828855,43306.61538461554,41607.04436368623,33133.00000000008,9990,9614,436712
"Lafayette, LA",8.355650776647027e-4,390,29180,3538,60915.44158353607,46581,51194.82642098034,37918.73684210526,11150,10760,466750
"Indianapolis-Carmel-Anderson, IN",8.183795872294646e-4,1545,26900,11798,57588.793049846645,46923.16260162688,45637.73740271663,35625.5068493173,41121,39576,1887877
"Rocky Mount, NC",8.136910074019633e-4,124,40580,1094,47817.22857258097,37427.2,37888.9426854354,27658.142857142884,3122,2998,152392
"Wichita, KS",7.924947576471782e-4,500,48620,3565,54746.60266005264,45621,43547.03953254124,35190.48101265829,13217,12717,630919
"Lake Havasu City-Kingman, AZ",7.842706283156664e-4,157,29420,1346,47550.80749982862,36497,37056.135394529374,26239.17647058829,5869,5712,200186
"York-Hanover, PA",7.63267520667997e-4,332,49620,3139,66183.83657133555,58540,51527.822135996095,44599.000000000065,7854,7522,434972
"Santa Rosa, CA",7.605222804095247e-4,368,42220,3100,70497.18183677345,58132.55555555542,49765.15659465066,39286.54054054053,8430,8062,483878
"Allentown-Bethlehem-Easton, PA-NJ",7.464931262961642e-4,613,10900,5177,64602.62187291561,55404,48706.005078875256,40814.85714285756,14112,13499,821173
"Youngstown-Warren-Boardman, OH-PA",7.122998092874704e-4,403,49660,4694,50740.708635873896,42862.300000000185,41032.42798753923,33656.40540540542,10248,9845,565773
"Atlanta-Sandy Springs-Roswell, GA",7.015681533076791e-4,3709,12060,30296,58463.492502858295,47041,44745.76455819659,34132,114330,110621,5286728
"Lynchburg, VA",7.006182857414283e-4,177,31340,1679,56419.9946070026,48973.95121951254,45557.01899994469,38576.811320754765,3924,3747,252634
"State College, PA",6.883563867783623e-4,106,44300,832,61413.95636337666,54676.46551724134,48771.3495929153,43992.58333333333,1550,1444,153990
"Bremerton-Silverdale, WA",6.84896051096431e-4,172,14740,1912,67795.08158960032,60758,51153.7177718228,44094.27450980392,5809,5637,251133
"Orlando-Kissimmee-Sanford, FL",6.671629784516665e-4,1424,36740,13082,54350.018840917735,44307,40360.834070845944,31118.07692307783,48538,47114,2134411
"Lakeland-Winter Haven, FL",6.261470365972147e-4,377,29460,4604,52540.00227097909,41971.85294117671,40841.66814402403,31815.6363636365,12254,11877,602095
"Spartanburg, SC",6.065094423943715e-4,190,43900,2092,53192.08465572585,45996,43247.9596048646,36478.95522388009,7035,6845,313268
"Phoenix-Mesa-Scottsdale, AZ",5.778834488026985e-4,2423,38060,27388,60322.52307041984,49236,46468.52634139223,36298.7407407411,107869,105446,4192887
"Salt Lake City, UT",5.763540413265152e-4,627,41620,6558,67527.04188041638,58712.423529411804,52524.71717178006,44295.47058823522,23671,23044,1087873
"Owensboro, KY",5.315811489124372e-4,61,36980,812,59991.194050908234,50157.76086956519,49963.208629710185,39628.22222222222,2179,2118,114752
"Wilmington, NC",5.296527047598123e-4,135,48900,1443,53186.80936445444,41814,40124.28866704162,29273.555555555562,4780,4645,254884
"Fresno, CA",5.255521521844269e-4,489,23420,5934,51817.689633701855,40552,37929.674659822624,27656.950000000168,21416,20927,930450
"Gainesville, FL",5.108315201967647e-4,135,23540,1360,50000.516334419764,39155,37925.41650875464,27662.303030303035,4735,4600,264275
"Knoxville, TN",4.954803831555772e-4,415,28940,6212,52585.98776008846,43056.51219512245,42288.90978187751,33841.87341772153,15572,15157,837571
"Baltimore-Columbia-Towson, MD",4.947446752228104e-4,1341,12580,15148,73685.3484615792,61548.9189189083,56179.27548588678,45367.056603773504,42152,40811,2710489
"Gainesville, GA",4.841833440929632e-4,87,23580,1390,58351.33999033062,45621,46040.68150544832,34524.12903225813,3355,3268,179684
"St. Joseph, MO-KS",4.712202247720472e-4,60,41140,1087,57474.37884190864,51520,46779.444557649855,41564.73333333333,2277,2217,127329
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.6719861707868263e-4,2787,37980,31209,67534.9408696244,54745,51141.62131400544,39892,77146,74359,5965343
"Rockford, IL",4.20683911845257e-4,147,40420,2497,55376.69137901426,46896.94444444457,43120.26726773141,35505.727272727374,8580,8433,349431
"Memphis, TN-MS-AR",3.947679285402116e-4,523,32820,8211,53015.255898054995,41573.77142857125,40880.61567270289,30650.535714285597,30434,29911,1324829
"Greenville-Anderson-Mauldin, SC",3.870833090647873e-4,319,24860,6118,51676.164806983834,43591.25000000056,41593.46734649106,33897.04545454548,17086,16767,824112
"Little Rock-North Little Rock-Conway, AR",3.7155755497980013e-4,260,30780,3959,54882.17975756971,43276,44020.47723848955,33750.33333333327,13993,13733,699757
"Waco, TX",3.2044688493978763e-4,81,47380,1914,53790.06804525066,45000,42798.37272547747,33501.99999999999,6046,5965,252772
"Homosassa Springs, FL",3.044549548273811e-4,43,26140,714,47004.33931342728,37546.73529411749,37196.77559128438,28641.571428571417,2586,2543,141236
"Lewiston-Auburn, ME",2.599766021058105e-4,28,30340,634,55036.79445511656,49288.92307692308,42761.59877472613,36607.04761904758,2386,2358,107702
"Bloomington, IN",2.444390124663896e-4,39,14020,551,49246.47114113673,40798.70297029703,38100.33661330592,30345.41379310345,2411,2372,159549
"Portland-South Portland, ME",2.236927589681345e-4,115,38860,2302,61592.921361258,53181.874999999425,46431.14228810148,37955.33333333332,9230,9115,514098
"Louisville/Jefferson County, KY-IN",1.7156156632473044e-4,212,31140,9108,57215.07765545812,47041,45615.94971400332,36418.833333333416,25254,25042,1235708
"Albany-Schenectady-Troy, NY",1.504508932878229e-4,131,10580,5443,66287.9810286788,55695,51617.76574202134,41945.142857142746,13563,13432,870716
"Urban Honolulu, HI",1.4897079018513293e-4,142,46520,5138,79621.32247786263,68389.63636363731,56625.20427243934,46284.43181818196,17202,17060,953207
"Erie, PA",1.4256894990839945e-4,40,21500,1990,54328.26798065296,46368,43601.75267230955,35923.09433962262,4805,4765,280566
"Salinas, CA",1.0119092076509973e-4,42,41500,3043,65175.97881321136,52677.88000000005,46363.08430371015,36006.851851851854,6237,6195,415057
"Yakima, WA",9.867163313886798e-5,24,49420,1815,53955.62270206429,44927.16842105258,42423.974247714905,34215.5663716814,5451,5427,243231
"Santa Cruz-Watsonville, CA",9.146968923173084e-5,24,42100,1309,71311.31017205521,54682,49231.285592739645,36091.54545454548,2922,2898,262382
"Naples-Immokalee-Marco Island, FL",8.397611346105996e-5,27,34940,1806,60864.14502966398,46584.72413793108,45460.63115624757,32557.473684210545,5901,5874,321520
"Pittsfield, MA",7.620847590669034e-5,10,38340,1285,55885.134725656266,48053.866666666814,42076.86369614393,34311.17241379316,1741,1731,131219
"Pittsburgh, PA",5.347400675215435e-5,126,38300,15579,60241.328606798634,50822.18518518418,49040.14694364792,40865.31578947293,34994,34868,2356285
"Oxnard-Thousand Oaks-Ventura, CA",4.0081718121066225e-5,33,37100,4846,76125.4618719639,61823,53007.16656320514,40832.04166666841,12470,12437,823318
"Visalia-Porterville, CA",3.618444114261419e-5,16,47300,3155,50950.92514091754,40505.91836734694,38086.23970572425,28911.4081632652,7678,7662,442179
"New Haven-Milford, CT",2.550792658818728e-5,22,35300,4881,66465.6020365307,53580,48524.76232761059,35632.69230769228,12825,12803,862477
"Palm Bay-Melbourne-Titusville, FL",-3.6806925591119225e-5,-20,37340,3348,52311.97578150889,42531,39673.81434331161,31015.10000000003,10896,10916,543376
"Rochester, NY",-3.890073920666574e-5,-42,40380,8516,57800.80678812529,48303.916666665544,45271.23671559763,36231.774193548306,17848,17890,1079671
"Chattanooga, TN-GA",-4.354881159080022e-5,-23,16860,3447,55373.92235033716,45621,44576.31901477325,35968.760563380114,10124,10147,528143
"Miami-Fort Lauderdale-West Palm Beach, FL",-6.0920437728620115e-5,-339,33100,36834,55798.79618647579,42834.876923077405,39350.74089218753,27998.42857142923,113365,113704,5564635
"Provo-Orem, UT",-6.26411799320438e-5,-33,39340,2894,67425.10746454487,59475.14062500002,52215.929556640665,44465.145161290326,8001,8034,526810
"Buffalo-Cheektowaga-Niagara Falls, NY",-6.693033696782677e-5,-76,15380,7516,60994.183951514555,51520,49223.77362372042,40505.26666666696,15879,15955,1135509
"Wausau, WI",-6.71326167548093e-5,-9,48140,1509,60127.00625792466,53788.272727272786,47955.794347417075,41790.33333333349,2421,2430,134063
"Monroe, LA",-7.367902018238392e-5,-13,33740,998,51222.05357311879,35480.071428571435,42059.80085186938,28745.666666666668,2352,2365,176441
"Flagstaff, AZ",-8.18324517746483e-5,-11,22380,956,59978.26661788023,53388.96610169492,47532.0185388462,40347.875,2241,2252,134421
"Cleveland-Elyria, OH",-1.0831680499123838e-4,-225,17460,15154,56548.34949105897,47000,44528.33350587388,35539,40482,40707,2077240
"St. Louis, MO-IL",-1.2160558108635037e-4,-339,41180,17703,60383.40904854843,50177,47933.24408148329,38444,57130,57469,2787701
"Fort Collins, CO",-1.2682308180088776e-4,-38,22660,1620,64727.14396908192,55000,49446.636307126835,40292.571428571675,6671,6709,299630
"Santa Fe, NM",-1.5953388360962753e-4,-23,42140,1253,52625.437496693645,41814,39847.30958048987,30538.428571428485,1913,1936,144170
"Tucson, AZ",-1.652617715857887e-4,-162,46060,6263,51629.677090455545,41505.78571428506,39415.59115054886,30342.74999999993,27127,27289,980263
"Detroit-Warren-Dearborn, MI",-1.6921734070410243e-4,-727,19820,22539,59269.56473621877,48944,46592.525775711714,36885.28205128162,78767,79494,4296250
"Oshkosh-Neenah, WI",-1.7365893385391093e-4,-29,36780,1052,60680.89427407249,52717.56862745098,48724.28608192151,41823.605095541425,2840,2869,166994
"Washington-Arlington-Alexandria, DC-VA-MD-WV",-1.907302609260939e-4,-1075,47900,27816,79050.12217925131,64915,58563.13144040003,45891.99999999924,84316,85391,5636232
"New Orleans-Metairie, LA",-1.975012312310798e-4,-235,35380,9073,55126.46713710107,42246,42580.75321380604,30819.888888888883,23092,23327,1189866
