state,migpuma_name,net migration,raw net migration,migpuma1,n_obs_for_median_real_wage,mean_nominal_wage,median_nominal_wage,median_real_wage,mean_real_wage,migpuma_population,top_place_population,proportion_in_named_place,n_out,n_in,n_obs_n_in,net migration (not foreign)
Indiana,Monroe County,-0.0027622241518699283,-369,2800,676,85524.55127388534,67292.05128205127,54949.5,71929.50898089173,133588,133588,1,3088,2719,113,-0.0047908494774979785
Ohio,Scioto & Lawrence Counties,-0.002766422737213022,-358,5100,258,92000.1117383687,74354.56410256415,60154.33333333335,78731.65076893129,129409,129409,1,779,421,17,-0.002766422737213022
Illinois,Kendall & Grundy Counties,-0.002806128633421416,-463,3700,436,113107.66531671202,102110.40000000002,81472.05747126439,89313.09213440485,164996,164996,1,1786,1323,38,-0.002806128633421416
New Mexico,Do�a Ana County,-0.0028457825902123085,-569,1000,473,86596.88166193629,70014.41304347826,59093.31578947374,72924.86652475559,199945,199945,1,1661,1092,43,-0.003030833479206782
Minnesota,Stearns County,-0.002857255458343186,-435,900,511,101569.51678818975,85814.40000000005,68810.88571428572,85362.99666936717,152244,152244,1,2083,1648,54,-0.002857255458343186
Alabama,"Russell, Pike, Barbour, Macon & Bullock Counties",-0.002907254888972304,-395,2400,351,78857.45724737082,67847,55060.695652173876,66031.90626428898,135867,135867,1,908,513,23,-0.0031133387798361633
Texas,Golden Crescent Regional Planning Commission,-0.0029398816585707995,-394,5500,440,97137.84155124654,86466.29113924052,72212.28571428629,82435.93130193905,134019,134019,1,846,452,39,-0.0029846514300211164
California,Yolo County,-0.0029624106364648565,-588,11300,1063,119905.75645005344,98339,76559.66666666677,96148.5648567503,198487,198487,1,4049,3461,171,-0.004287434441550328
Kansas,Douglas County,-0.003052841918294849,-330,700,489,90593.29297488226,74220.1,60407.741071428565,75063.01824960753,108096,108096,1,2627,2297,74,-0.0033303730017761987
Pennsylvania,"Bradford, Tioga & Sullivan Counties",-0.0030949589683470107,-330,400,506,90989.53759244042,80253.1621621622,65905.69230769244,77128.38640098603,106625,106625,1,760,430,39,-0.0030949589683470107
North Carolina,Nash & Edgecombe Counties,-0.003120984027905269,-442,900,318,89278.30257026905,74041.40000000001,62185.11111111117,74570.13362392905,141622,141622,1,814,372,14,-0.003120984027905269
Illinois,LaSalle County,-0.0031419673125155033,-342,2400,385,90162.19839192221,78444.4285714286,66415.80952380954,75082.7399027674,108849,108849,1,733,391,25,-0.0031419673125155033
West Virginia,Monongalia & Preston Counties,-0.0032293055337048416,-390,300,626,98324.45016411817,77279,63327.82608695668,83863.63645824994,120769,120769,1,1875,1485,76,-0.0037758033932548916
Georgia,Middle Georgia Regional Commission,-0.0032415261884994407,-449,1400,582,94136.19363627517,71625.90909090907,56844.20689655173,78819.72268171645,138515,138515,1,1781,1332,67,-0.0035014258383568564
Indiana,St. Joseph County,-0.00333305656707035,-843,400,1215,99416.28089358092,74989.41860465117,63372.50000000002,85732.51258365539,252921,252921,1,3428,2585,138,-0.004234523823644538
