res_stname,res_state,res_puma,place_name,pop,real_wage_high_skill,real_wage_low_skill,nominal_wage_everyone,nominal_wage_high_skill,nominal_wage_low_skill,n_move_in_high_skill,n_move_in_low_skill,n_move_out_high_skill,n_move_out_low_skill,net_mig_low_skill,net_mig_high_skill
Kansas,20,500,Wyandotte County,41133,63998.64027149321,41818.63619827194,58213.6032195411,78114.78248222366,53122.50820620944,1082,4304,1045,4325,-5.105389832980818e-4,8.995210658109061e-4
North Carolina,37,1600,Alamance County,41113,82312.9992782389,42326.712597227655,65066.09091489497,98112.5301335258,53128.70555772824,1455,3702,1283,3347,0.008634738403911171,0.004183591564711891
Iowa,19,700,"Dubuque, Buchanan, Jackson & Delaware Counties",40968,83765.845986276,48880.93773921919,71241.11595045115,98976.87790001089,60411.73641235009,1264,2930,1338,2741,0.00461335676625659,-0.0018062878344073422
Michigan,26,1100,"Ionia, Montcalm, Mecosta & Osceola Counties",40742,73682.54624322231,44128.5304035068,61306.05855910215,87744.6853601859,54912.09295268068,684,3021,935,2956,0.001595405232929164,-0.006160718668695695
Virginia,51,51087,Rappahannock-Rapidan Regional Commission,40659,95564.62861610633,57120.30332883491,89944.31863311699,118612.81626270524,75099.3759334233,1076,2442,909,2491,-0.0012051452322978922,0.0041073317100764895
Michigan,26,3100,St. Clair County,40545,83127.01064301553,48765.938961851156,69678.16731707317,98891.04079822617,61438.63889931207,990,4230,844,3731,0.01230731286225182,0.0036009372302380073
North Carolina,37,3500,Davidson County,40488,75471.28590095388,44091.668165168165,63177.01685765698,89992.86332157324,54634.656177156176,971,3849,859,3132,0.017708950800237107,0.0027662517289073307
Montana,30,300,Southwest Montana,40434,75688.90183722375,43893.92936347159,67960.99370524562,89568.1538120174,54982.64457831325,1820,3243,1770,3576,-0.008235643270514913,0.0012365830736508878
Mississippi,28,1800,South Region,40396,74103.87013536379,43232.397922636104,64386.76306896552,87806.9780033841,53055.328745395,1692,4033,1564,4107,-0.0018318645410436677,0.0031686305574809386
Louisiana,22,700,Kisatchie Delta Regional Planning & Development District 2,40299,93991.98478508939,45041.42264892905,68057.88805007706,108686.77672118676,54652.59835174029,1177,3242,1061,3028,0.005310305466636889,0.00287848333705551
Delaware,10,200,Kent County,40195,84856.23648285499,47241.7124430956,73581.13182377243,102783.98366118457,61456.07020440953,1299,2829,1392,2966,-0.0034083841273790274,-0.0023137206120164198
