statefip,sea,skill,hhinc,cost,costShared,incShared,stay,inMig,outMig,year,index,basePop,basePopTot,netMig,lr,lincShared
Connecticut,055,1,36907.535,8075.5356,347.04346,29807.432,48192,8374,4500,1940,16.39529854910714,52692,204490,.018944692,10.269241,10.302513
Connecticut,055,0,25056.977,4833.6895,347.04346,29807.432,146686,8851,5112,1940,16.39529854910714,151798,204490,.018284513,9.9145899,10.302513
Connecticut,056,0,24388.844,4156.8882,296.61938,28932.764,170982,6332,3678,1940,16.39529854910714,174660,242497,.010944465,9.915019,10.27273
Connecticut,056,1,34182.652,6571.7432,296.61938,28932.764,61759,5354,6078,1940,16.39529854910714,67837,242497,-.0029856039,10.225966,10.27273
Connecticut,057,1,38379.496,7213.4526,365.0528,31590.068,53709,6200,4300,1940,16.39529854910714,58009,212108,.0089577008,10.347084,10.360598
Connecticut,057,0,26667.744,5477.1836,365.0528,31590.068,148601,5954,5498,1940,16.39529854910714,154099,212108,.0021498483,9.9613113,10.360598
Connecticut,058,1,24571.025,4509.603,260.01251,22867.027,21456,3300,2400,1940,16.39529854910714,23856,117800,.007640068,9.9065542,10.037452
Connecticut,058,0,21224.084,4229.6777,260.01251,22867.027,90147,5742,3797,1940,16.39529854910714,93944,117800,.016511036,9.7406397,10.037452
Delaware,059,0,10480.89,2047.5432,136.72285,12393.754,30199,2650,1800,1940,16.39529854910714,31999,39399,.021574151,9.0399485,9.4249477
Delaware,059,1,17636.871,3369.6064,136.72285,12393.754,6700,1700,700,1940,16.39529854910714,7400,39399,.025381355,9.5657234,9.4249477
Delaware,060,1,39101.852,6118.2925,338.00211,28998.932,19310,4000,2700,1940,16.39529854910714,22010,83071,.015649265,10.403765,10.275014
Delaware,060,0,24152.199,5283.9189,338.00211,28998.932,57905,3700,3156,1940,16.39529854910714,61061,83071,.0065486152,9.8452377,10.275014
District of Columbia,061,1,,,,,,,37917,1940,16.39529854910714,,0,,,
District of Columbia,061,0,,,,,,,21745,1940,16.39529854910714,,0,,,
Florida,062,1,25903.441,2828.302,121.42587,14444.289,7979,3050,2200,1940,16.39529854910714,10179,66732,.012737517,10.046511,9.5780544
Florida,062,0,12413.895,1884.4159,121.42587,14444.289,51488,7376,5065,1940,16.39529854910714,56553,66732,.034631062,9.2619343,9.5780544
Florida,063,1,20567.355,4591.23,105.40653,11434.083,5600,2287,1000,1940,16.39529854910714,6600,39248,.03279148,9.6788511,9.3443537
Florida,063,0,9900.7236,1386.1736,105.40653,11434.083,29565,4941,3083,1940,16.39529854910714,32648,39248,.047339991,9.0495319,9.3443537
Florida,064,1,28922.986,4263.832,181.80966,21100.115,21404,6758,4600,1940,16.39529854910714,26004,102036,.021149399,10.112904,9.9570341
Florida,064,0,17847.795,2605.2593,181.80966,21100.115,69870,5854,6162,1940,16.39529854910714,76032,102036,-.0030185424,9.6318455,9.9570341
Florida,065,0,6806.8545,1285.3168,102.50134,9226.584,67933,8013,7875,1940,16.39529854910714,75808,90056,.0015323799,8.6164112,9.1298437
Florida,065,1,22713.189,4018.2739,102.50134,9226.584,11861,2687,2387,1940,16.39529854910714,14248,90056,.0033312605,9.8360071,9.1298437
Florida,066,1,13659.57,5531.832,191.30832,12414.093,10270,2400,1600,1940,16.39529854910714,11870,39666,.020168407,9.0030384,9.4265881
Florida,066,0,10833.618,2207.8125,191.30832,12414.093,24856,5116,2940,1940,16.39529854910714,27796,39666,.054858066,9.0625134,9.4265881
Florida,067,1,20195.158,3589.4299,135.87791,14546.786,28877,7400,6100,1940,16.39529854910714,34977,135156,.0096185151,9.7175026,9.585125
Florida,067,0,12264.456,1825.2563,135.87791,14546.786,90109,13219,10070,1940,16.39529854910714,100179,135156,.023299003,9.2533236,9.585125
Florida,068,1,22542.154,3869.8789,158.05981,16325.417,31316,8100,4687,1940,16.39529854910714,36003,124451,.027424449,9.834795,9.7004786
Florida,068,0,13267.52,2055.5315,158.05981,16325.417,79876,9070,8572,1940,16.39529854910714,88448,124451,.0040015751,9.3247385,9.7004786
Florida,069,0,11269.767,1824.8807,147.97762,14127.602,55491,16307,6327,1940,16.39529854910714,61818,83257,.1198698,9.1532288,9.5558853
Florida,069,1,23159.998,4524.4463,147.97762,14127.602,18162,8000,3277,1940,16.39529854910714,21439,83257,.056727964,9.8328266,9.5558853
Florida,070,0,20181.381,3338.8203,267.62247,26412.104,54031,25142,7374,1940,16.39529854910714,61405,103392,.17185082,9.7316647,10.181578
Florida,070,1,31769.967,5656.9087,267.62247,26412.104,34230,17248,7757,1940,16.39529854910714,41987,103392,.091796272,10.170191,10.181578
Georgia,071,0,12715.005,2460.364,159.77434,13931.495,66336,4694,4114,1940,16.39529854910714,70450,79624,.0072842361,9.235486,9.5419073
Georgia,071,1,20512.926,4143.7769,159.77434,13931.495,7987,2200,1187,1940,16.39529854910714,9174,79624,.012722295,9.7031536,9.5419073
Georgia,072,1,21131.488,3171.6467,98.636742,9264.3633,19260,3380,2200,1940,16.39529854910714,21460,132230,.0089238444,9.7958937,9.1339302
Georgia,072,0,7276.8721,1268.325,98.636742,9264.3633,104036,9047,6734,1940,16.39529854910714,110770,132230,.017492248,8.7009382,9.1339302
Georgia,073,1,14027.089,2067.6294,63.639656,5882.7896,2643,1063,700,1940,16.39529854910714,3343,32965,.011011679,9.3892775,8.6797867
Georgia,073,0,4596.1646,972.20972,63.639656,5882.7896,27622,2777,2000,1940,16.39529854910714,29622,32965,.023570454,8.1953211,8.6797867
Georgia,074,1,16725.85,1955.2002,74.499748,7052.9951,11070,1000,2710,1940,16.39529854910714,13780,107716,-.015875079,9.6003971,8.861208
Georgia,074,0,5503.8296,1117.8325,74.499748,7052.9951,88424,5474,5512,1940,16.39529854910714,93936,107716,-.00035277952,8.3861723,8.861208
